Acct,Vendor,Material,Material_Description,Image,ImageNum
254,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_19.jpg?v=1614746649,2
,,,,,
255,Saroj Fabrics,Brocade,Navy blue with muted and bright Zari flower motif,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_23.jpg?v=1614746114,1
,,,,,
256,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_22.jpg?v=1614746114,2
,,,,,
257,Saroj Fabrics,Brocade,White with muted and bright gold animal motif,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM.jpg?v=1614745954,1
,,,,,
258,Saroj Fabrics,Brocade,Salmon pink with muted and bright zari gold brocade,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.12PM_10.jpg?v=1614745907,1
,,,,,
259,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.12PM_9.jpg?v=1614745907,2
,,,,,
260,Saroj Fabrics,Brocade,Salmon pink with muted and bright gold animal motif,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_27.jpg?v=1614745732,1
,,,,,
261,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.47PM_26.jpg?v=1614745732,2
,,,,,
262,Saroj Fabrics,Brocade,Navy Blue with gold zari bhutta on Munga Tussar silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM.jpg?v=1614745660,1
,,,,,
263,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.58PM.jpg?v=1614745660,2
,,,,,
